ipsedID,county,avgCasePerCapita,fipsCode,school,state,flag,stateCHECK,vaxPolicySchoolnameCHECK,enforceDateCHECK,typeCHECK,mask,maskEnforceDate,allStudentsCHECK,urlVaxCHECK,urlMask
130794,New Haven County,197.6579433,9009,Yale University,CT,0,CT,Yale University,2021-04-19,Private,1,,1,https://www.wfsb.com/news/yale-university-requiring-all-students-to-get-vaccinated-before-returning-to-campus/article_6d599bfc-a121-11eb-8fe8-4f87c780682c.html,
130934,Kent County,239.3891293,10001,Delaware State University,DE,0,DE,Delaware State University,2021-04-23,Public,1,,1,https://delawarebusinesstimes.com/colleges-and-universities/dsu-require-booster/,https://delawarebusinesstimes.com/colleges-and-universities/dsu-require-booster/
130943,New Castle County,226.2645271,10003,University of Delaware,DE,0,DE,University of Delaware,2021-05-05,Public,1,,1,https://www.udel.edu/udaily/2021/may/covid-19-coronavirus-vaccination-requirement-students/,
133669,Palm Beach County,213.0184138,12099,Florida Atlantic University,FL,0,FL,Florida Atlantic University,2021-04-19,Public,1,,0,https://www.fau.edu/coronavirus/,https://www.fau.edu/coronavirus/
137032,Pasco County,190.6657709,12101,Saint Leo University,FL,0,FL,Saint Leo University,2021-06-08,Private,1,,0,https://www.saintleo.edu/protect-the-pride/vaccine-incentive,https://www.saintleo.edu/protect-the-pride/vaccine-incentive
137351,Hillsborough County,220.2466675,12057,University of South Florida,FL,0,FL,University of South Florida,2021-08-04,Public,1,,0,https://www.usf.edu/coronavirus/vaccinations.aspx,https://www.usf.edu/coronavirus/vaccinations.aspx
138309,Marion County,196.8460961,12083,Rasmussen University-Florida,FL,0,FL,Rasmussen University-Florida,2021-05-17,Private,1,,0,https://www.rasmussen.edu/coronavirus/,https://www.rasmussen.edu/coronavirus/
138354,Escambia County,220.8806712,12033,The University of West Florida,FL,0,FL,The University of West Florida,2021-08-26,Public,1,,0,"https://uwf.edu/coronavirus/covid-19-vaccine-information/#:~:text=The%20University%20of%20West%20Florida,healthier%20environment%20for%20all%20Argos.&text=All%20Florida%20residents%20age%205,receive%20the%20COVID%2D19%20vaccine.","https://uwf.edu/coronavirus/covid-19-vaccine-information/#:~:text=The%20University%20of%20West%20Florida,healthier%20environment%20for%20all%20Argos.&text=All%20Florida%20residents%20age%205,receive%20the%20COVID%2D19%20vaccine."
139199,Hall County,224.6441638,13139,Brenau University,GA,0,GA,Brenau University,2021-06-30,Private,1,,0,https://www.brenau.edu/covid-faq/,https://www.brenau.edu/covid-faq/
139463,Whitfield County,280.0068042,13313,Dalton State College,GA,0,GA,Dalton State College,2021-08-20,Public,1,,0,https://www.daltonstate.edu/skins/userfiles/files/DSC%20Vaccine%20Incentive%20Plan.pdf,https://www.daltonstate.edu/skins/userfiles/files/DSC%20Vaccine%20Incentive%20Plan.pdf
139630,Franklin County,192.8701305,13119,Emmanuel College,GA,0,GA,Emmanuel College,2021-05-03,Private,1,,0,https://ec.edu/community-health/,https://ec.edu/community-health/
139755,Fulton County,175.842383,13121,Georgia Institute of Technology-Main Campus,GA,0,GA,Georgia Institute of Technology-Main Campus,2021-08-26,Public,1,,0,https://www.google.com/search?q=Georgia+Institute+of+Technology-Main+Campus+vaccine&rlz=1C5CHFA_enUS899US900&sxsrf=ALiCzsYyzSjGJGXF22PC2i9uF1O26ocOtw%3A1651604286711&ei=PntxYpqFK7bNytMPjdC52A8&ved=0ahUKEwianMa2gcT3AhW2pnIEHQ1oDvsQ4dUDCA8&uact=5&oq=Georgia+Institute+of+Technology-Main+Campus+vaccine&gs_lcp=Cgdnd3Mtd2l6EAMyBQghEKABMgUIIRCgATIFCCEQoAEyBQghEKABOgcIABBHELADOgoIABDkAhCwAxgBOg8ILhDUAhDIAxCwAxBDGAI6BggAEBYQHjoFCAAQhgM6BQghEKsCOggIIRAWEB0QHkoECEEYAEoECEYYAVCuA1iwCmDLC2gBcAF4AIABaIgB9gWSAQM1LjOYAQCgAQHIAQ3AAQHaAQYIARABGAnaAQYIAhABGAg&sclient=gws-wiz,https://www.google.com/search?q=Georgia+Institute+of+Technology-Main+Campus+vaccine&rlz=1C5CHFA_enUS899US900&sxsrf=ALiCzsYyzSjGJGXF22PC2i9uF1O26ocOtw%3A1651604286711&ei=PntxYpqFK7bNytMPjdC52A8&ved=0ahUKEwianMa2gcT3AhW2pnIEHQ1oDvsQ4dUDCA8&uact=5&oq=Georgia+Institute+of+Technology-Main+Campus+vaccine&gs_lcp=Cgdnd3Mtd2l6EAMyBQghEKABMgUIIRCgATIFCCEQoAEyBQghEKABOgcIABBHELADOgoIABDkAhCwAxgBOg8ILhDUAhDIAxCwAxBDGAI6BggAEBYQHjoFCAAQhgM6BQghEKsCOggIIRAWEB0QHkoECEEYAEoECEYYAVCuA1iwCmDLC2gBcAF4AIABaIgB9gWSAQM1LjOYAQCgAQHIAQ3AAQHaAQYIARABGAnaAQYIAhABGAg&sclient=gws-wiz
139764,Sumter County,195.6244335,13261,Georgia Southwestern State University,GA,0,GA,Georgia Southwestern State University,2021-08-23,Public,1,,0,https://www.gsw.edu/covid/,https://www.gsw.edu/covid/
140447,Bibb County,208.5970899,13021,Mercer University,GA,0,GA,Mercer University,2021-08-26,Private,1,,0,https://www.mercer.edu/coronavirus/faq/,https://www.mercer.edu/coronavirus/faq/
141264,Lowndes County,227.1285579,13185,Valdosta State University,GA,0,GA,Valdosta State University,2021-04-26,Public,1,,0,https://www.valdosta.edu/health-advisory/vaccine-incentive.php,https://www.valdosta.edu/health-advisory/vaccine-incentive.php
141565,Hawaii County,112.4583633,15001,University of Hawaii at Hilo,HI,0,HI,University of Hawaii at Hilo,2021-05-17,Public,1,,1,https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/,
142115,Ada County,239.4640567,16001,Boise State University,ID,0,ID,Boise State University,2021-04-23,Public,1,,0,https://www.boisestate.edu/coronavirus-response/,https://www.boisestate.edu/coronavirus-response/
143288,Macoupin County,243.7807167,17117,Blackburn College,IL,0,IL,Blackburn College,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
143358,Peoria County,223.7140111,17143,Bradley University,IL,0,IL,Bradley University,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
144892,Coles County,259.4938313,17029,Eastern Illinois University,IL,0,IL,Eastern Illinois University,2021-08-26,Public,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
145372,Bond County,221.3089889,17005,Greenville University,IL,0,IL,Greenville University,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
145600,Cook County,189.8877685,17031,University of Illinois Chicago,IL,0,IL,University of Illinois at Chicago,2021-06-21,Public,1,,1,https://massmail.illinois.edu/massmail/1167605264.html,
145813,McLean County,250.1755197,17113,Illinois State University,IL,0,IL,Illinois State University,2021-07-28,Public,1,,1,https://news.illinoisstate.edu/2021/07/coronavirus-update-july-28-2021-new-face-covering-vaccine-and-testing-requirements/,
146481,Lake County,185.6142426,17097,Lake Forest College,IL,0,IL,Lake Forest College,2021-05-20,Private,1,,1,https://www.lakeforest.edu/about-us/administration/covid-19-information/previous-correspondence,
146533,Vermilion County,316.7381059,17183,Lakeview College of Nursing,IL,0,IL,Lakeview College of Nursing,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
147244,Macon County,252.0208608,17115,Millikin University,IL,0,IL,Millikin University,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
147703,DeKalb County,192.0356663,17037,Northern Illinois University,IL,0,IL,Northern Illinois University,2021-06-23,Public,1,,1,https://www.niu.edu/protecting-the-pack/communication/messaging/6-23-21-requiring-covid-19-vaccination-for-students-employees.html,
148131,Adams County,293.3551034,17001,Quincy University,IL,0,IL,Quincy University,2021-08-26,Private,1,,1,https://www.quincy.edu/coronavirus/,
148405,Winnebago County,233.3591404,17201,Rockford University,IL,0,IL,Rockford University,2021-08-26,Private,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
149222,Jackson County,235.6958251,17077,Southern Illinois University-Carbondale,IL,0,IL,Southern Illinois University at Carbondale,2021-08-26,Public,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
149231,Madison County,230.5313855,17119,Southern Illinois University-Edwardsville,IL,0,IL,Southern Illinois University at Edwardsville,2021-08-26,Public,1,,1,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html,
150066,Madison County,217.1513436,18095,Anderson University,IN,0,IN,Anderson University,2021-08-26,Private,1,,0,https://andersonuniversity.edu/news/journey-ahead-vaccination,https://andersonuniversity.edu/news/journey-ahead-vaccination
