county_name,fips_code,state_name,avgCasePerCapita,count
Bandera County,48019,Texas,130.122410098522,812
Banks County,13011,Georgia,167.697466748768,812
Banner County,31007,Nebraska,0,812
Bannock County,16005,Idaho,203.511640394089,812
Baraga County,26013,Michigan,199.513726600985,812
Barber County,20007,Kansas,180.264199507389,812
Barbour County,1005,Alabama,194.107949507389,812
Barbour County,54001,West Virginia,246.10318226601,812
Barceloneta Municipio,72017,Puerto Rico,105.998433497537,812
Barnes County,38003,North Dakota,230.80343226601,812
Barnstable County,25001,Massachusetts,141.912131773399,812
Barnwell County,45011,South Carolina,235.864656403941,812
Barranquitas Municipio,72019,Puerto Rico,128.989413793103,812
Barren County,21009,Kentucky,251.061866995074,812
Barron County,55005,Wisconsin,254.969431034483,812
Barrow County,13013,Georgia,226.20656773399,812
Barry County,26015,Michigan,199.119227832512,812
Barry County,29009,Missouri,158.089965517241,812
Bartholomew County,18005,Indiana,218.905177339901,812
Barton County,20009,Kansas,213.681604679803,812
Barton County,29011,Missouri,200.099557881773,812
Bartow County,13015,Georgia,232.965713054187,812
Bastrop County,48021,Texas,210.950167487685,812
Bates County,29013,Missouri,193.364665024631,812
Bath County,21011,Kentucky,202.23645320197,812
Bath County,51017,Virginia,153.91861453202,812
Baxter County,5005,Arkansas,178.40871182266,812
Bay County,12005,Florida,229.466327586207,812
Bay County,26017,Michigan,225.324600985222,812
Bayamón Municipio,72021,Puerto Rico,159.220588669951,812
Bayfield County,55007,Wisconsin,181.805050492611,812
Baylor County,48023,Texas,158.915774630542,812
Beadle County,46005,South Dakota,210.460120689655,812
Bear Lake County,16007,Idaho,96.6723620689655,812
Beaufort County,37013,North Carolina,226.228967980296,812
Beaufort County,45013,South Carolina,192.939181034483,812
Beauregard Parish,22011,Louisiana,200.071831280788,812
Beaver County,40007,Oklahoma,130.248283251232,812
Beaver County,42007,Pennsylvania,211.009886699507,812
Beaver County,49001,Utah,89.7674901477833,812
Beaverhead County,30001,Montana,180.449410098522,812
Becker County,27005,Minnesota,218.167392857143,812
Beckham County,40009,Oklahoma,231.296588669951,812
Bedford County,42009,Pennsylvania,195.499257389163,812
Bedford County,47003,Tennessee,258.535732758621,812
Bedford County,51019,Virginia,184.266832512315,812
Bee County,48025,Texas,216.781295566502,812
Belknap County,33001,New Hampshire,188.157286945813,812
Bell County,21013,Kentucky,291.115747536946,812
Bell County,48027,Texas,158.882626847291,812
Belmont County,39013,Ohio,200.641915024631,812
Beltrami County,27007,Minnesota,218.215816502463,812
Ben Hill County,13017,Georgia,214.816630541872,812
Benewah County,16009,Idaho,207.484082512315,812
Bennett County,46007,South Dakota,158.213704433498,812
Bennington County,50003,Vermont,226.171160098522,812
Benson County,38005,North Dakota,233.434913793103,812
Bent County,8011,Colorado,371.732603448276,812
Benton County,5007,Arkansas,205.729679802956,812
Benton County,18007,Indiana,223.752752463054,812
Benton County,19011,Iowa,197.31806773399,812
Benton County,27009,Minnesota,294.362965517241,812
Benton County,28009,Mississippi,217.869445812808,812
Benton County,29015,Missouri,181.115493842365,812
Benton County,41003,Oregon,140.340607142857,812
Benton County,47005,Tennessee,235.613395320197,812
Benton County,53005,Washington,221.115109605911,812
Benzie County,26019,Michigan,160.425688423645,812
Bergen County,34003,New Jersey,208.164229064039,812
Berkeley County,45015,South Carolina,195.569551724138,812
Berkeley County,54003,West Virginia,258.101836206897,812
Berks County,42011,Pennsylvania,209.323416256158,812
Berkshire County,25003,Massachusetts,160.447261083744,812
Bernalillo County,35001,New Mexico,186.452422413793,812
Berrien County,13019,Georgia,211.849061576355,812
Berrien County,26021,Michigan,194.873852216749,812
Bertie County,37015,North Carolina,185.973794334975,812
Bethel Census Area,2050,Alaska,464.887082512315,812
Bexar County,48029,Texas,239.667322660099,812
Bibb County,1007,Alabama,243.060802955665,812
Bibb County,13021,Georgia,208.597089901478,812
Bienville Parish,22013,Louisiana,230.698554187192,812
Big Horn County,30003,Montana,313.314022167488,812
Big Horn County,56003,Wyoming,176.790458128079,812
Big Stone County,27011,Minnesota,207.911193349754,812
Billings County,38007,North Dakota,15.3940874384236,812
Bingham County,16011,Idaho,178.600506157635,812
Black Hawk County,19013,Iowa,214.943834975369,812
Blackford County,18009,Indiana,217.543947044335,812
Bladen County,37017,North Carolina,244.841378078818,812
Blaine County,16013,Idaho,218.268259852217,812
Blaine County,30005,Montana,247.927545566502,812
Blaine County,31009,Nebraska,0,812
Blaine County,40011,Oklahoma,211.954849753695,812
Blair County,42013,Pennsylvania,209.315830049261,812
Blanco County,48031,Texas,167.18667364532,812
Bland County,51021,Virginia,217.478261083744,812
Bleckley County,13023,Georgia,207.072213054187,812
Bledsoe County,47007,Tennessee,259.197857142857,812
Blount County,1009,Alabama,221.739188423645,812
Blount County,47009,Tennessee,252.887437192118,812
Blue Earth County,27013,Minnesota,227.395527093596,812
Boise County,16015,Idaho,92.1561625615764,812
Bolivar County,28011,Mississippi,258.251600985222,812
Bollinger County,29017,Missouri,176.289177339901,812
Bon Homme County,46009,South Dakota,267.952179802956,812
Bond County,17005,Illinois,221.308988916256,812
Bonner County,16017,Idaho,166.203238916256,812
Bonneville County,16019,Idaho,222.83997044335,812
Boone County,5009,Arkansas,216.171949507389,812
Boone County,17007,Illinois,221.814706896552,812
Boone County,18011,Indiana,193.114782019704,812
Boone County,19015,Iowa,177.100639162562,812
Boone County,21015,Kentucky,239.793818965517,812
Boone County,29019,Missouri,206.985386699507,812
Boone County,31011,Nebraska,85.8653275862069,812
Boone County,54005,West Virginia,260.45332635468,812
Borden County,48033,Texas,38.7912192118227,812
Bosque County,48035,Texas,181.206210591133,812
Bossier Parish,22015,Louisiana,239.803596059113,812
Botetourt County,51023,Virginia,190.505458128079,812
Bottineau County,38009,North Dakota,193.021528325123,812
Boulder County,8013,Colorado,167.056328817734,812
Boundary County,16021,Idaho,135.211523399015,812
Bourbon County,20011,Kansas,252.406269704434,812
Bourbon County,21017,Kentucky,253.842201970443,812
Bowie County,48037,Texas,185.405937192118,812
Bowman County,38011,North Dakota,183.996019704434,812
Box Butte County,31013,Nebraska,69.7480825123153,812
Box Elder County,49003,Utah,215.511722906404,812
Boyd County,21019,Kentucky,299.290815270936,812
Boyd County,31015,Nebraska,44.9228238916256,812
Boyle County,21021,Kentucky,238.193555418719,812
Bracken County,21023,Kentucky,210.129403940887,812
Bradford County,12007,Florida,225.881142857143,812
Bradford County,42015,Pennsylvania,215.410560344828,812
Bradley County,5011,Arkansas,223.74134729064,812
Bradley County,47011,Tennessee,263.784439655172,812
Branch County,26023,Michigan,223.269270935961,812
Brantley County,13025,Georgia,175.960981527094,812
Braxton County,54007,West Virginia,234.172810344828,812
Brazoria County,48039,Texas,215.148688423645,812
Brazos County,48041,Texas,226.8045,812
Breathitt County,21025,Kentucky,245.837384236453,812
Breckinridge County,21027,Kentucky,204.43456773399,812
Bremer County,19017,Iowa,184.586556650246,812
Brevard County,12009,Florida,192.1596908867,812
Brewster County,48043,Texas,88.0120591133005,812
Briscoe County,48045,Texas,122.435793103448,812
Bristol Bay Borough,2060,Alaska,0,812
Bristol City,51520,Virginia,221.802751231527,812
Bristol County,25005,Massachusetts,228.899623152709,812
Bristol County,44001,Rhode Island,239.103575123153,812
Broadwater County,30007,Montana,154.192639162562,812
Bronx County,36005,New York,248.109631773399,812
Brooke County,54009,West Virginia,192.534502463054,812
Brookings County,46011,South Dakota,196.390604679803,812
Brooks County,13027,Georgia,179.283311576355,812
Brooks County,48047,Texas,173.990315270936,812
Broome County,36007,New York,206.493229064039,812
Broomfield County,8014,Colorado,162.610832512315,812
Broward County,12011,Florida,267.078959359606,812
Brown County,17009,Illinois,292.061752463054,812
Brown County,18013,Indiana,136.641407635468,812
Brown County,20013,Kansas,229.359687192118,812
Brown County,27015,Minnesota,221.535022167488,812
Brown County,31017,Nebraska,51.844974137931,812
Brown County,39015,Ohio,219.64575862069,812
Brown County,46013,South Dakota,226.528814039409,812
Brown County,48049,Texas,264.27875,812
Brown County,55009,Wisconsin,273.761551724138,812
Brule County,46015,South Dakota,201.340841133005,812
Brunswick County,37019,North Carolina,179.677751231527,812
Brunswick County,51025,Virginia,162.577424876847,812
Bryan County,13029,Georgia,196.154871921182,812
Bryan County,40013,Oklahoma,242.430870689655,812
Buchanan County,19019,Iowa,180.823655172414,812
Buchanan County,29021,Missouri,224.226064039409,812
Buchanan County,51027,Virginia,196.127380541872,812
Buckingham County,51029,Virginia,190.309300492611,812
Bucks County,42017,Pennsylvania,169.12225,812
Buena Vista City,51530,Virginia,243.472789408867,812
Buena Vista County,19021,Iowa,278.600033251232,812
Buffalo County,31019,Nebraska,95.9251440886699,812
Buffalo County,46017,South Dakota,213.351713054187,812
Buffalo County,55011,Wisconsin,224.011055418719,812
Bullitt County,21029,Kentucky,223.970066502463,812
Bulloch County,13031,Georgia,165.430383004926,812
Bullock County,1011,Alabama,179.882615763547,812
Buncombe County,37021,North Carolina,172.525830049261,812
Bureau County,17011,Illinois,218.499050492611,812
Burke County,13033,Georgia,197.386552955665,812
Burke County,37023,North Carolina,238.573411330049,812
Burke County,38013,North Dakota,98.1145714285714,812
Burleigh County,38015,North Dakota,314.333928571429,812
Burleson County,48051,Texas,228.336321428571,812
Burlington County,34005,New Jersey,198.290012315271,812
Burnet County,48053,Texas,194.939582512315,812
Burnett County,55013,Wisconsin,214.98592364532,812
Burt County,31021,Nebraska,73.6361366995074,812
Butler County,1013,Alabama,219.696653940887,812
Butler County,19023,Iowa,183.300415024631,812
Butler County,20015,Kansas,243.794911330049,812
Butler County,21031,Kentucky,247.43377955665,812
Butler County,29023,Missouri,204.000124384236,812
Butler County,31023,Nebraska,80.6269458128079,812
Butler County,39017,Ohio,208.569905172414,812
Butler County,42019,Pennsylvania,203.821205665025,812
Butte County,6007,California,155.968360837438,812
Butte County,16023,Idaho,95.8855677339901,812
Butte County,46019,South Dakota,212.22554679803,812
Butts County,13035,Georgia,220.673294334975,812
Cabarrus County,37025,North Carolina,221.238854679803,812
Cabell County,54011,West Virginia,256.4515,812
Cabo Rojo Municipio,72023,Puerto Rico,81.8668275862069,812
Cache County,49005,Utah,249.081616995074,812
Caddo County,40015,Oklahoma,243.603645320197,812
Caddo Parish,22017,Louisiana,227.348321428571,812
Caguas Municipio,72025,Puerto Rico,139.593705665025,812
Calaveras County,6009,California,141.264099753695,812
Calcasieu Parish,22019,Louisiana,219.360087438424,812
Caldwell County,21033,Kentucky,269.724480295567,812
