ipsedID,school,county,fipsCode,state,avgCasePerCapita,vaxPolicySchoolnameCHECK
160409,Saint Joseph Seminary College,St. Tammany Parish,22103,LA,225.842030788177,Saint Augustine College
161226,University of Maine at Farmington,Franklin County,23007,ME,159.651168719212,University of Maine at Farmington
161299,Maine Maritime Academy,Hancock County,23009,ME,114.565834975369,Maine Maritime Academy
161554,University of Southern Maine,Cumberland County,23005,ME,141.819530788177,University of Southern Maine
162584,Frostburg State University,Allegany County,24001,MD,88.8929039408867,Frostburg State University
163462,Mount St. Mary's University,Frederick County,24021,MD,68.5245689655173,Mount St. Mary's University
163912,St. Mary's College of Maryland,St. Mary's County,24037,MD,49.5236490147783,St. Mary's College of Maryland
164216,Washington College,Kent County,24029,MD,56.1168522167488,Bennington College
164580,Babson College,Norfolk County,25021,MA,161.411020935961,Albion College
164988,Boston University,Suffolk County,25025,MA,227.51663546798,Boston University
165024,Bridgewater State University,Plymouth County,25023,MA,191.321426108374,Bridgewater State University
165820,Fitchburg State University,Worcester County,25027,MA,199.918272167488,Fitchburg State University
166629,University of Massachusetts-Amherst,Hampshire County,25015,MA,149.228958128079,University of Massachusetts at Amherst
167729,Salem State University,Essex County,25009,MA,224.513007389163,Salem State University
167987,University of Massachusetts-Dartmouth,Bristol County,25005,MA,228.899623152709,University of Massachusetts at Dartmouth
168263,Westfield State University,Hampden County,25013,MA,246.084651477833,Westfield State University
169910,Ferris State University,Mecosta County,26107,MI,169.054752463054,Bowie State University
170286,Hillsdale College,Hillsdale County,26059,MI,193.93077955665,Mills College
171128,Michigan Technological University,Houghton County,26061,MI,186.113002463054,Lawrence Technological University
172334,Spring Arbor University,Jackson County,26075,MI,213.841017241379,Stony Brook University
172699,Western Michigan University,Kalamazoo County,26077,MI,192.195831280788,Western Oregon University
173957,Mayo Clinic College of Medicine and Science,Olmsted County,27109,MN,223.580693349754,Worsham College of Mortuary Science
174251,University of Minnesota-Morris,Stevens County,27149,MN,220.318371921182,University of Maine at Machias
174783,Saint Cloud State University,Stearns County,27145,MN,271.496383004926,San Jose State University
175272,Winona State University,Winona County,27169,MN,215.805092364532,Sonoma State University
175616,Delta State University,Bolivar County,28011,MS,258.251600985222,Salem State University
176044,Mississippi Valley State University,Leflore County,28083,MS,219.724199507389,Grand Valley State University
176372,University of Southern Mississippi,Forrest County,28035,MS,252.830017241379,University of Southern Maine
176406,Tougaloo College,Madison County,28089,MS,194.597784482759,Molloy College
176965,University of Central Missouri,Johnson County,29101,MO,192.950312807882,University of Baltimore
177144,Culver-Stockton College,Lewis County,29111,MO,230.596396551724,Fullerton College
178341,Missouri Southern State University,Jasper County,29097,MO,245.604024630542,Northwestern State University
178369,Missouri Valley College,Saline County,29195,MO,234.163834975369,Moreno Valley College
178402,University of Missouri-Kansas City,Jackson County,29095,MO,256.924078817734,University of Michigan at Flint
178411,Missouri University of Science and Technology,Phelps County,29161,MO,196.221528325123,University of Maine at Machias
