announceDate,type,State,allEmployees,someEmployees,allStudents,resStudentsOnly,boosterRequired,statePol2020,school,url
2021-08-20,Public,WA,1,0,0,0,0,D,Bellingham Technical College,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-05-21,Private,WI,1,0,1,0,0,D,Beloit College,https://www.beloit.edu/live/blurbs/1071-community-care-college-is-requiring-vaccines-for
2021-08-26,Private,IL,1,0,1,0,0,D,Benedictine University,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
,Private,NC,0,0,1,0,0,R,Bennett College,https://www.bennett.edu/bc/back-to-bennett-fall-2021/
2021-04-16,Private,VT,0,0,1,0,0,D,Bennington College,https://www.bennington.edu/news-and-features/planning-fall-covid-vaccinations
2021-05-17,Private,MA,1,0,1,0,1,D,Bentley University,https://www.bentley.edu/news/COVID-19-vaccination-requirements
2021-04-29,Private,KY,0,0,1,0,0,R,Berea College,https://www.courier-journal.com/story/news/local/2021/05/03/covid-19-vaccines-berea-college-kentucky-require-students-shots/4871589001/?gnt-cfr=1
2021-08-05,Public,CA,1,0,1,0,0,D,Berkeley City College,https://safe.peralta.edu/updates/campusstatus8-3-21
2021-04-28,Private,MA,1,0,1,0,0,D,Berklee College of Music,https://www.berklee.edu/berklee-now/news/berklee-to-require-students-to-be-fully-vaccinated-against-covid-19-ahead-of-fall-2021-semester
2021-09-20,Public,MA,1,0,1,0,0,D,Berkshire Community College,https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/
2021-06-23,Private,WV,0,0,1,0,0,R,Bethany College,https://www.bethanywv.edu/about-bethany/bethany-college-requiring-students-to-get-covid-19-vaccination/
2021-08-26,Private,IL,1,0,1,0,0,D,Bexley Hall Seabury Western Theological Seminary Federation,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-08-20,Public,WA,1,0,0,0,0,D,Big Bend Community College,https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf
2021-05-10,Public,NY,1,0,1,0,0,D,Binghamton University,https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20
2021-08-26,Public,IL,1,0,1,0,0,D,Black Hawk College,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-08-26,Private,IL,1,0,1,0,0,D,Blackburn College,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-08-26,Private,IL,1,0,1,0,0,D,Blessing Rieman College of Nursing and Health Sciences,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html
2021-08-25,Public,LA,0,0,1,0,0,R,Bossier Parish Community College,https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates
2021-04-23,Private,MA,1,0,1,0,1,D,Boston College,https://www.bcheights.com/2021/04/23/bc-to-require-vaccinations-for-2021-2022-academic-year/
2021-04-09,Private,MA,1,0,1,0,1,D,Boston University,https://www.bu.edu/president/vaccination-and-the-fall-semester-at-boston-university/
